COLLEGE OF ENGINEERING - TIMETABLE: CSBS_S3_B,,,,,,
,,,,,,
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:30-09:30,FREE,FREE,FREE,FREE,FREE,"Operating Systems
[THEORY]
Assistant Professor 2
CR_3"
09:30-10:30,FREE,FREE,FREE,FREE,FREE,"Object Oriented Programming
[THEORY]
Associate Professor 4
CR_2"
10:30-11:00,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK
11:00-11:50,"Data Structures Lab
[LAB]
Associate Professor 1
LAB_1","Probability and Statistics
[THEORY]
Associate Professor 4
CR_6",FREE,"Object Oriented Programming
[THEORY]
Associate Professor 4
CR_6",FREE,FREE
11:50-12:40,"Data Structures Lab
[LAB]
Associate Professor 1
LAB_1","Computer Networks
[THEORY]
Associate Professor 1
CR_6","Database Systems
[THEORY]
Assistant Professor 2
CR_5",FREE,"Object Oriented Programming
[THEORY]
Associate Professor 4
CR_6",FREE
12:40-13:30,"Data Structures Lab
[LAB]
Associate Professor 1
LAB_1","Database Systems
[THEORY]
Assistant Professor 2
CR_3","Operating Systems
[THEORY]
Assistant Professor 2
CR_6",FREE,FREE,FREE
13:30-14:30,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
14:30-15:30,"Computer Networks
[THEORY]
Associate Professor 1
CR_3","Data Structures
[THEORY]
Associate Professor 1
CR_3",FREE,FREE,FREE,FREE
15:30-16:30,"Computer Networks
[THEORY]
Associate Professor 1
CR_4","Operating Systems
[THEORY]
Assistant Professor 2
CR_5","Data Structures
[THEORY]
Associate Professor 1
CR_5","Data Structures
[THEORY]
Associate Professor 1
CR_6",FREE,FREE
16:30-17:30,FREE,"Database Systems
[THEORY]
Assistant Professor 2
CR_3","Probability and Statistics
[THEORY]
Associate Professor 4
CR_3","Probability and Statistics
[THEORY]
Associate Professor 4
CR_5",FREE,FREE
