COLLEGE OF ENGINEERING - TIMETABLE: CSBS_S5_A,,,,,,
,,,,,,
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:30-09:30,"Machine Learning
[THEORY]
Assistant Professor 9
CR_5",FREE,FREE,FREE,FREE,FREE
09:30-10:30,"Business Intelligence
[OE]
Assistant Professor 9
CR_7",FREE,FREE,"Data Visualization
[THEORY]
Associate Professor 2
CR_3",FREE,"Business Intelligence
[OE]
Assistant Professor 9
CR_4"
10:30-11:00,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK
11:00-11:50,"Data Visualization
[THEORY]
Associate Professor 2
CR_7","Cloud Computing
[THEORY]
Assistant Professor 4
CR_7","Cloud Computing
[THEORY]
Assistant Professor 4
CR_6",FREE,"Information Security
[THEORY]
Associate Professor 5
CR_6","Cloud Computing
[THEORY]
Assistant Professor 4
CR_5"
11:50-12:40,"Machine Learning
[THEORY]
Assistant Professor 9
CR_7","Software Engineering
[THEORY]
Assistant Professor 4
CR_7","Software Engineering
[THEORY]
Assistant Professor 4
CR_6",FREE,FREE,"Information Security
[THEORY]
Associate Professor 5
CR_6"
12:40-13:30,"Data Visualization
[THEORY]
Associate Professor 2
CR_5","Business Analytics
[THEORY]
Associate Professor 2
CR_4",FREE,FREE,"Business Analytics
[THEORY]
Associate Professor 2
CR_4",FREE
13:30-14:30,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
14:30-15:30,FREE,FREE,"Physical Education
[PE]
Associate Professor 6
CR_5","Machine Learning Lab
[LAB]
Associate Professor 6
LAB_2",FREE,"Physical Education
[PE]
Associate Professor 6
CR_3"
15:30-16:30,FREE,FREE,"Software Engineering
[THEORY]
Assistant Professor 4
CR_6","Machine Learning Lab
[LAB]
Associate Professor 6
LAB_2","Machine Learning
[THEORY]
Assistant Professor 9
CR_6",FREE
16:30-17:30,FREE,FREE,"Business Analytics
[THEORY]
Associate Professor 2
CR_4","Machine Learning Lab
[LAB]
Associate Professor 6
LAB_2","Information Security
[THEORY]
Associate Professor 5
CR_5",FREE
