COLLEGE OF ENGINEERING - TIMETABLE: ISE_S3_A,,,,,,
,,,,,,
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:30-09:30,FREE,"Database Management Systems
[THEORY]
Assistant Professor 1
CR_1",FREE,FREE,"Data Structures
[THEORY]
Assistant Professor 1
CR_1",FREE
09:30-10:30,FREE,FREE,FREE,FREE,"Data Structures
[THEORY]
Assistant Professor 1
CR_1",FREE
10:30-11:00,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK
11:00-11:50,"Database Management Systems
[THEORY]
Assistant Professor 1
CR_1",FREE,FREE,"Data Structures Lab
[LAB]
Associate Professor 1
LAB_1","Database Management Systems
[THEORY]
Assistant Professor 1
CR_1",FREE
11:50-12:40,"Object Oriented Programming
[THEORY]
Assistant Professor 1
CR_1",FREE,FREE,"Data Structures Lab
[LAB]
Associate Professor 1
LAB_1","Mathematics for Computing
[THEORY]
Professor 1
CR_1",FREE
12:40-13:30,FREE,FREE,"Operating Systems
[THEORY]
Associate Professor 2
CR_1","Data Structures Lab
[LAB]
Associate Professor 1
LAB_1","Mathematics for Computing
[THEORY]
Professor 1
CR_1",FREE
13:30-14:30,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
14:30-15:30,FREE,FREE,FREE,"Data Structures
[THEORY]
Assistant Professor 1
CR_1","Computer Networks
[THEORY]
Professor 1
CR_1",FREE
15:30-16:30,"Computer Networks
[THEORY]
Professor 1
CR_1",FREE,"Mathematics for Computing
[THEORY]
Professor 1
CR_1","Operating Systems
[THEORY]
Associate Professor 2
CR_1",FREE,"Object Oriented Programming
[THEORY]
Assistant Professor 1
CR_1"
16:30-17:30,"Operating Systems
[THEORY]
Associate Professor 2
CR_1",FREE,"Computer Networks
[THEORY]
Professor 1
CR_1","Object Oriented Programming
[THEORY]
Assistant Professor 1
CR_1",FREE,FREE
