COLLEGE OF ENGINEERING - TIMETABLE: ISE_S3_B,,,,,,
,,,,,,
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:30-09:30,"Object Oriented Programming
[THEORY]
Assistant Professor 1
CR_1","Data Structures
[THEORY]
Assistant Professor 7
CR_2",FREE,"Data Structures
[THEORY]
Assistant Professor 7
CR_1",FREE,FREE
09:30-10:30,"Mathematics for Computing
[THEORY]
Assistant Professor 7
CR_1","Database Management Systems
[THEORY]
Assistant Professor 1
CR_1",FREE,"Database Management Systems
[THEORY]
Assistant Professor 1
CR_1",FREE,FREE
10:30-11:00,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK
11:00-11:50,FREE,"Operating Systems
[THEORY]
Associate Professor 2
CR_1",FREE,"Mathematics for Computing
[THEORY]
Assistant Professor 7
CR_1",FREE,"Object Oriented Programming
[THEORY]
Assistant Professor 1
CR_1"
11:50-12:40,FREE,"Object Oriented Programming
[THEORY]
Assistant Professor 1
CR_1",FREE,FREE,FREE,"Computer Networks
[THEORY]
Professor 2
CR_1"
12:40-13:30,FREE,FREE,FREE,"Data Structures
[THEORY]
Assistant Professor 7
CR_1",FREE,FREE
13:30-14:30,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
14:30-15:30,FREE,"Data Structures Lab
[LAB]
Assistant Professor 7
LAB_1",FREE,"Computer Networks
[THEORY]
Professor 2
CR_2",FREE,FREE
15:30-16:30,FREE,"Data Structures Lab
[LAB]
Assistant Professor 7
LAB_1","Mathematics for Computing
[THEORY]
Assistant Professor 7
CR_2",FREE,"Computer Networks
[THEORY]
Professor 2
CR_1","Operating Systems
[THEORY]
Associate Professor 2
CR_2"
16:30-17:30,FREE,"Data Structures Lab
[LAB]
Assistant Professor 7
LAB_1",FREE,FREE,"Database Management Systems
[THEORY]
Assistant Professor 1
CR_1","Operating Systems
[THEORY]
Associate Professor 2
CR_1"
