Room,Day,Time,Subject,Section,Teacher,Type
CR_1,Monday,08:30-09:30,Object Oriented Programming,ISE_S3_B,Assistant Professor 1,THEORY
CR_1,Monday,09:30-10:30,Mathematics for Computing,ISE_S3_B,Assistant Professor 7,THEORY
CR_1,Monday,11:00-11:50,Database Management Systems,ISE_S3_A,Assistant Professor 1,THEORY
CR_1,Monday,11:50-12:40,Object Oriented Programming,ISE_S3_A,Assistant Professor 1,THEORY
CR_1,Monday,12:40-13:30,Cloud Computing,ISE_S5_A,Assistant Professor 9,THEORY
CR_1,Monday,14:30-15:30,Machine Learning,ISE_S5_A,Assistant Professor 9,THEORY
CR_1,Monday,15:30-16:30,Computer Networks,ISE_S3_A,Professor 1,THEORY
CR_1,Monday,16:30-17:30,Operating Systems,ISE_S3_A,Associate Professor 2,THEORY
CR_1,Tuesday,08:30-09:30,Database Management Systems,ISE_S3_A,Assistant Professor 1,THEORY
CR_1,Tuesday,09:30-10:30,Database Management Systems,ISE_S3_B,Assistant Professor 1,THEORY
CR_1,Tuesday,11:00-11:50,Operating Systems,ISE_S3_B,Associate Professor 2,THEORY
CR_1,Tuesday,11:50-12:40,Object Oriented Programming,ISE_S3_B,Assistant Professor 1,THEORY
CR_1,Tuesday,12:40-13:30,Software Engineering,ISE_S5_B,Assistant Professor 4,THEORY
CR_1,Tuesday,14:30-15:30,Operating Systems,ISE_S3_C,Assistant Professor 2,THEORY
CR_1,Tuesday,15:30-16:30,Software Engineering,ISE_S5_B,Assistant Professor 4,THEORY
CR_1,Tuesday,16:30-17:30,Web Technology,ISE_S5_B,Assistant Professor 8,THEORY
CR_1,Wednesday,08:30-09:30,Database Management Systems,ISE_S3_C,Assistant Professor 2,THEORY
CR_1,Wednesday,09:30-10:30,Computer Networks,ISE_S3_C,Associate Professor 1,THEORY
CR_1,Wednesday,11:00-11:50,Machine Learning,ISE_S5_A,Assistant Professor 9,THEORY
CR_1,Wednesday,11:50-12:40,Data Mining,ISE_S5_A,Professor 3,THEORY
CR_1,Wednesday,12:40-13:30,Operating Systems,ISE_S3_A,Associate Professor 2,THEORY
CR_1,Wednesday,14:30-15:30,Computer Networks,ISE_S3_C,Associate Professor 1,THEORY
CR_1,Wednesday,15:30-16:30,Mathematics for Computing,ISE_S3_A,Professor 1,THEORY
CR_1,Wednesday,16:30-17:30,Computer Networks,ISE_S3_A,Professor 1,THEORY
CR_1,Thursday,08:30-09:30,Data Structures,ISE_S3_B,Assistant Professor 7,THEORY
CR_1,Thursday,09:30-10:30,Database Management Systems,ISE_S3_B,Assistant Professor 1,THEORY
CR_1,Thursday,11:00-11:50,Mathematics for Computing,ISE_S3_B,Assistant Professor 7,THEORY
CR_1,Thursday,11:50-12:40,Data Structures,ISE_S3_C,Assistant Professor 7,THEORY
CR_1,Thursday,12:40-13:30,Data Structures,ISE_S3_B,Assistant Professor 7,THEORY
CR_1,Thursday,14:30-15:30,Data Structures,ISE_S3_A,Assistant Professor 1,THEORY
CR_1,Thursday,15:30-16:30,Operating Systems,ISE_S3_A,Associate Professor 2,THEORY
CR_1,Thursday,16:30-17:30,Object Oriented Programming,ISE_S3_A,Assistant Professor 1,THEORY
CR_1,Friday,08:30-09:30,Data Structures,ISE_S3_A,Assistant Professor 1,THEORY
CR_1,Friday,09:30-10:30,Data Structures,ISE_S3_A,Assistant Professor 1,THEORY
CR_1,Friday,11:00-11:50,Database Management Systems,ISE_S3_A,Assistant Professor 1,THEORY
CR_1,Friday,11:50-12:40,Mathematics for Computing,ISE_S3_A,Professor 1,THEORY
CR_1,Friday,12:40-13:30,Mathematics for Computing,ISE_S3_A,Professor 1,THEORY
CR_1,Friday,14:30-15:30,Computer Networks,ISE_S3_A,Professor 1,THEORY
CR_1,Friday,15:30-16:30,Computer Networks,ISE_S3_B,Professor 2,THEORY
CR_1,Friday,16:30-17:30,Database Management Systems,ISE_S3_B,Assistant Professor 1,THEORY
CR_1,Saturday,08:30-09:30,Cloud Computing,ISE_S5_B,Assistant Professor 4,THEORY
CR_1,Saturday,09:30-10:30,Machine Learning,ISE_S5_B,Professor 3,THEORY
CR_1,Saturday,11:00-11:50,Object Oriented Programming,ISE_S3_B,Assistant Professor 1,THEORY
CR_1,Saturday,11:50-12:40,Computer Networks,ISE_S3_B,Professor 2,THEORY
CR_1,Saturday,12:40-13:30,Project Management,ISE_S7_B,Assistant Professor 5,THEORY
CR_1,Saturday,14:30-15:30,Deep Learning,ISE_S7_B,Assistant Professor 6,THEORY
CR_1,Saturday,15:30-16:30,Object Oriented Programming,ISE_S3_A,Assistant Professor 1,THEORY
CR_1,Saturday,16:30-17:30,Operating Systems,ISE_S3_B,Associate Professor 2,THEORY
CR_2,Monday,08:30-09:30,Data Structures,ISE_S3_C,Assistant Professor 7,THEORY
CR_2,Monday,09:30-10:30,Web Technology,ISE_S5_A,Assistant Professor 8,THEORY
CR_2,Monday,11:00-11:50,Object Oriented Programming,ISE_S3_C,Associate Professor 4,THEORY
CR_2,Monday,11:50-12:40,Information Security,ISE_S5_A,Assistant Professor 8,THEORY
CR_2,Monday,12:40-13:30,Project Management,ISE_S7_A,Assistant Professor 6,THEORY
CR_2,Monday,14:30-15:30,Discrete Mathematics,CSBS_S1_A,Professor 2,THEORY
CR_2,Monday,15:30-16:30,Natural Language Processing,ISE_S7_B,Assistant Professor 6,THEORY
CR_2,Monday,16:30-17:30,Advanced Database Systems,ISE_S7_B,Associate Professor 3,THEORY
CR_2,Tuesday,08:30-09:30,Data Structures,ISE_S3_B,Assistant Professor 7,THEORY
CR_2,Tuesday,09:30-10:30,Natural Language Processing,ISE_S7_A,Assistant Professor 6,THEORY
CR_2,Tuesday,11:00-11:50,Data Structures,ISE_S3_C,Assistant Professor 7,THEORY
CR_2,Tuesday,11:50-12:40,Object Oriented Programming,ISE_S3_C,Associate Professor 4,THEORY
CR_2,Tuesday,12:40-13:30,Computer Organization,CSBS_S1_B,Assistant Professor 10,THEORY
CR_2,Tuesday,14:30-15:30,Digital Logic,CSBS_S1_A,Assistant Professor 10,THEORY
CR_2,Tuesday,15:30-16:30,Deep Learning,ISE_S7_B,Assistant Professor 6,THEORY
CR_2,Tuesday,16:30-17:30,Digital Logic,CSBS_S1_A,Assistant Professor 10,THEORY
CR_2,Wednesday,08:30-09:30,Cloud Computing,ISE_S5_B,Assistant Professor 4,THEORY
CR_2,Wednesday,09:30-10:30,Communication Skills,CSBS_S1_A,Assistant Professor 3,THEORY
CR_2,Wednesday,11:00-11:50,Machine Learning,ISE_S5_B,Professor 3,THEORY
CR_2,Wednesday,11:50-12:40,Web Technology,ISE_S5_B,Assistant Professor 8,THEORY
CR_2,Wednesday,12:40-13:30,Object Oriented Programming,ISE_S3_C,Associate Professor 4,THEORY
CR_2,Wednesday,14:30-15:30,Web Technology,ISE_S5_B,Assistant Professor 8,THEORY
CR_2,Wednesday,15:30-16:30,Mathematics for Computing,ISE_S3_B,Assistant Professor 7,THEORY
CR_2,Wednesday,16:30-17:30,Big Data Analytics,ISE_S7_A,Professor 4,THEORY
CR_2,Thursday,08:30-09:30,Operating Systems,ISE_S3_C,Assistant Professor 2,THEORY
CR_2,Thursday,09:30-10:30,Engineering Mathematics,CSBS_S1_B,Assistant Professor 3,THEORY
CR_2,Thursday,11:00-11:50,Database Management Systems,ISE_S3_C,Assistant Professor 2,THEORY
CR_2,Thursday,11:50-12:40,Cloud Computing,ISE_S5_A,Assistant Professor 9,THEORY
CR_2,Thursday,12:40-13:30,Information Security,ISE_S5_B,Assistant Professor 8,THEORY
CR_2,Thursday,14:30-15:30,Computer Networks,ISE_S3_B,Professor 2,THEORY
