Teacher,Designation,Day,Time,Subject,Section,Room,Type
Assistant Professor 1,Assistant Professor,Monday,08:30-09:30,Object Oriented Programming,ISE_S3_B,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Monday,11:00-11:50,Database Management Systems,ISE_S3_A,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Monday,11:50-12:40,Object Oriented Programming,ISE_S3_A,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Monday,15:30-16:30,Data Structures,CSBS_S3_A,CR_3,THEORY
Assistant Professor 1,Assistant Professor,Tuesday,08:30-09:30,Database Management Systems,ISE_S3_A,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Tuesday,09:30-10:30,Database Management Systems,ISE_S3_B,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Tuesday,11:50-12:40,Object Oriented Programming,ISE_S3_B,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Thursday,09:30-10:30,Database Management Systems,ISE_S3_B,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Thursday,14:30-15:30,Data Structures,ISE_S3_A,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Thursday,16:30-17:30,Object Oriented Programming,ISE_S3_A,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Friday,08:30-09:30,Data Structures,ISE_S3_A,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Friday,09:30-10:30,Data Structures,ISE_S3_A,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Friday,11:00-11:50,Database Management Systems,ISE_S3_A,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Friday,14:30-15:30,Data Structures,CSBS_S3_A,CR_3,THEORY
Assistant Professor 1,Assistant Professor,Friday,16:30-17:30,Database Management Systems,ISE_S3_B,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Saturday,11:00-11:50,Object Oriented Programming,ISE_S3_B,CR_1,THEORY
Assistant Professor 1,Assistant Professor,Saturday,14:30-15:30,Data Structures,CSBS_S3_A,CR_2,THEORY
Assistant Professor 1,Assistant Professor,Saturday,15:30-16:30,Object Oriented Programming,ISE_S3_A,CR_1,THEORY
Assistant Professor 10,Assistant Professor,Monday,11:00-11:50,Computer Organization,CSBS_S1_A,CR_5,THEORY
Assistant Professor 10,Assistant Professor,Monday,11:50-12:40,Digital Logic,CSBS_S1_B,CR_6,THEORY
Assistant Professor 10,Assistant Professor,Tuesday,11:00-11:50,Digital Logic,CSBS_S1_A,CR_4,THEORY
Assistant Professor 10,Assistant Professor,Tuesday,11:50-12:40,Computer Organization,CSBS_S1_B,CR_4,THEORY
Assistant Professor 10,Assistant Professor,Tuesday,12:40-13:30,Computer Organization,CSBS_S1_B,CR_2,THEORY
Assistant Professor 10,Assistant Professor,Tuesday,14:30-15:30,Digital Logic,CSBS_S1_A,CR_2,THEORY
Assistant Professor 10,Assistant Professor,Tuesday,15:30-16:30,Digital Logic,CSBS_S1_B,CR_4,THEORY
Assistant Professor 10,Assistant Professor,Tuesday,16:30-17:30,Digital Logic,CSBS_S1_A,CR_2,THEORY
Assistant Professor 10,Assistant Professor,Wednesday,08:30-09:30,Computer Organization,CSBS_S1_A,CR_4,THEORY
Assistant Professor 10,Assistant Professor,Wednesday,11:00-11:50,Programming Fundamentals Lab,CSBS_S1_A,LAB_1,LAB
Assistant Professor 10,Assistant Professor,Wednesday,14:30-15:30,Computer Organization,CSBS_S1_A,CR_4,THEORY
Assistant Professor 10,Assistant Professor,Thursday,08:30-09:30,Digital Logic,CSBS_S1_B,CR_3,THEORY
Assistant Professor 10,Assistant Professor,Thursday,11:00-11:50,Computer Organization,CSBS_S1_B,CR_5,THEORY
Assistant Professor 10,Assistant Professor,Thursday,14:30-15:30,Programming Fundamentals Lab,CSBS_S1_B,LAB_1,LAB
Assistant Professor 2,Assistant Professor,Tuesday,08:30-09:30,Database Systems,CSBS_S3_A,CR_5,THEORY
Assistant Professor 2,Assistant Professor,Tuesday,11:50-12:40,Operating Systems,CSBS_S3_A,CR_5,THEORY
Assistant Professor 2,Assistant Professor,Tuesday,12:40-13:30,Database Systems,CSBS_S3_B,CR_3,THEORY
Assistant Professor 2,Assistant Professor,Tuesday,14:30-15:30,Operating Systems,ISE_S3_C,CR_1,THEORY
Assistant Professor 2,Assistant Professor,Tuesday,15:30-16:30,Operating Systems,CSBS_S3_B,CR_5,THEORY
Assistant Professor 2,Assistant Professor,Tuesday,16:30-17:30,Database Systems,CSBS_S3_B,CR_3,THEORY
Assistant Professor 2,Assistant Professor,Wednesday,08:30-09:30,Database Management Systems,ISE_S3_C,CR_1,THEORY
Assistant Professor 2,Assistant Professor,Wednesday,09:30-10:30,Database Systems,CSBS_S3_A,CR_3,THEORY
Assistant Professor 2,Assistant Professor,Wednesday,11:00-11:50,Database Systems,CSBS_S3_A,CR_5,THEORY
Assistant Professor 2,Assistant Professor,Wednesday,11:50-12:40,Database Systems,CSBS_S3_B,CR_5,THEORY
Assistant Professor 2,Assistant Professor,Wednesday,12:40-13:30,Operating Systems,CSBS_S3_B,CR_6,THEORY
Assistant Professor 2,Assistant Professor,Thursday,08:30-09:30,Operating Systems,ISE_S3_C,CR_2,THEORY
Assistant Professor 2,Assistant Professor,Thursday,11:00-11:50,Database Management Systems,ISE_S3_C,CR_2,THEORY
Assistant Professor 2,Assistant Professor,Friday,11:50-12:40,Operating Systems,CSBS_S3_A,CR_5,THEORY
Assistant Professor 2,Assistant Professor,Friday,16:30-17:30,Operating Systems,CSBS_S3_A,CR_4,THEORY
Assistant Professor 2,Assistant Professor,Saturday,08:30-09:30,Operating Systems,CSBS_S3_B,CR_3,THEORY
Assistant Professor 2,Assistant Professor,Saturday,11:50-12:40,Operating Systems,ISE_S3_C,CR_2,THEORY
Assistant Professor 2,Assistant Professor,Saturday,16:30-17:30,Database Management Systems,ISE_S3_C,CR_2,THEORY
Assistant Professor 3,Assistant Professor,Monday,08:30-09:30,Communication Skills,CSBS_S1_A,CR_4,THEORY
Assistant Professor 3,Assistant Professor,Monday,12:40-13:30,Communication Skills,CSBS_S1_A,CR_3,THEORY
Assistant Professor 3,Assistant Professor,Monday,14:30-15:30,Deep Learning Lab,ISE_S7_A,LAB_2,LAB
Assistant Professor 3,Assistant Professor,Tuesday,11:00-11:50,Communication Skills,CSBS_S1_B,CR_5,THEORY
Assistant Professor 3,Assistant Professor,Tuesday,15:30-16:30,Engineering Mathematics,CSBS_S1_A,CR_3,THEORY
Assistant Professor 3,Assistant Professor,Wednesday,09:30-10:30,Communication Skills,CSBS_S1_A,CR_2,THEORY
Assistant Professor 3,Assistant Professor,Thursday,09:30-10:30,Engineering Mathematics,CSBS_S1_B,CR_2,THEORY
Assistant Professor 3,Assistant Professor,Thursday,12:40-13:30,Engineering Mathematics,CSBS_S1_B,CR_4,THEORY
Assistant Professor 3,Assistant Professor,Friday,08:30-09:30,Engineering Mathematics,CSBS_S1_A,CR_3,THEORY
Assistant Professor 3,Assistant Professor,Friday,11:50-12:40,Engineering Mathematics,CSBS_S1_B,CR_4,THEORY
Assistant Professor 3,Assistant Professor,Friday,15:30-16:30,Communication Skills,CSBS_S1_B,CR_4,THEORY
Assistant Professor 3,Assistant Professor,Saturday,11:00-11:50,Communication Skills,CSBS_S1_B,CR_4,THEORY
Assistant Professor 3,Assistant Professor,Saturday,15:30-16:30,Engineering Mathematics,CSBS_S1_A,CR_5,THEORY
