Sl No,Faculty Name,Designation,Target (Hrs),Assigned (Hrs),Theory (Hrs),Lab (Sessions),Lab (Hrs),OE (Hrs),PE (Hrs),Mon,Tue,Wed,Thu,Fri,Sat,Assigned Subjects,Assigned Sections
1,Professor 1,Professor,12,12,9,1,3,0,0,2,0,2,0,3,5,Computer Networks; Data Structures Lab; Mathematics for Computing,CSBS_S3_A; ISE_S3_A
2,Professor 2,Professor,12,12,12,0,0,0,0,4,0,1,4,2,1,Computer Networks; Discrete Mathematics; Programming Fundamentals,CSBS_S1_A; CSBS_S1_B; ISE_S3_B
3,Professor 3,Professor,12,12,12,0,0,0,0,1,0,3,2,3,3,Big Data Analytics; Data Mining; Machine Learning,ISE_S5_A; ISE_S5_B; ISE_S7_B
4,Professor 4,Professor,12,13,9,0,0,0,4,2,2,2,3,2,2,Big Data Analytics; Deep Learning; Physical Education,"CSBS_S7_A; ISE_S7_A; ISE_S7_A,CSBS_S7_A; ISE_S7_B"
5,Associate Professor 1,Associate Professor,14,15,9,2,6,0,0,5,2,3,4,1,0,Computer Networks; Data Structures; Data Structures Lab,CSBS_S3_B; ISE_S3_A; ISE_S3_C
6,Associate Professor 2,Associate Professor,14,12,12,0,0,0,0,3,2,2,2,1,2,Business Analytics; Data Visualization; Operating Systems,CSBS_S5_A; ISE_S3_A; ISE_S3_B
7,Associate Professor 3,Associate Professor,14,13,9,0,0,4,0,3,0,2,2,5,1,Advanced Database Systems; Artificial Intelligence; Distributed Systems,ISE_S7_A; ISE_S7_B
8,Associate Professor 4,Associate Professor,14,15,15,0,0,0,0,1,3,2,5,3,1,Object Oriented Programming; Probability and Statistics,CSBS_S3_A; CSBS_S3_B; ISE_S3_C
9,Associate Professor 5,Associate Professor,14,12,6,2,6,0,0,3,3,1,2,2,1,Deep Learning Lab; Information Security; Natural Language Processing,CSBS_S5_A; CSBS_S7_A; ISE_S7_B
10,Associate Professor 6,Associate Professor,14,14,0,2,6,4,4,2,2,2,4,3,1,Artificial Intelligence; Machine Learning Lab; Physical Education,"CSBS_S5_A; ISE_S5_A; ISE_S5_A,CSBS_S5_A; ISE_S5_B"
11,Assistant Professor 1,Assistant Professor,16,18,18,0,0,0,0,4,3,0,3,5,3,Data Structures; Database Management Systems; Object Oriented Programming,CSBS_S3_A; ISE_S3_A; ISE_S3_B
12,Assistant Professor 2,Assistant Professor,16,18,18,0,0,0,0,0,6,5,2,2,3,Database Management Systems; Database Systems; Operating Systems,CSBS_S3_A; CSBS_S3_B; ISE_S3_C
13,Assistant Professor 3,Assistant Professor,16,15,12,1,3,0,0,5,2,1,2,3,2,Communication Skills; Deep Learning Lab; Engineering Mathematics,CSBS_S1_A; CSBS_S1_B; ISE_S7_A
14,Assistant Professor 4,Assistant Professor,16,15,15,0,0,0,0,0,5,4,2,0,4,Cloud Computing; Software Engineering,CSBS_S5_A; ISE_S5_A; ISE_S5_B
15,Assistant Professor 5,Assistant Professor,16,15,12,1,3,0,0,0,2,2,3,3,5,Distributed Systems; Machine Learning Lab; Project Management,CSBS_S7_A; ISE_S5_B; ISE_S7_B
16,Assistant Professor 6,Assistant Professor,16,15,15,0,0,0,0,3,3,4,1,1,3,Deep Learning; Natural Language Processing; Project Management,ISE_S7_A; ISE_S7_B
17,Assistant Professor 7,Assistant Professor,16,18,12,2,6,0,0,5,5,1,5,0,2,Data Structures; Data Structures Lab; Mathematics for Computing,ISE_S3_B; ISE_S3_C
18,Assistant Professor 8,Assistant Professor,16,15,15,0,0,0,0,5,2,5,1,2,0,Information Security; Programming Fundamentals; Web Technology,CSBS_S1_B; ISE_S5_A; ISE_S5_B
19,Assistant Professor 9,Assistant Professor,16,16,12,0,0,4,0,5,1,2,2,5,1,Business Intelligence; Cloud Computing; Machine Learning,CSBS_S5_A; CSBS_S7_A; ISE_S5_A
20,Assistant Professor 10,Assistant Professor,16,18,12,2,6,0,0,2,6,5,5,0,0,Computer Organization; Digital Logic; Programming Fundamentals Lab,CSBS_S1_A; CSBS_S1_B
,TOTAL / SUMMARY,20 Faculty,292,293,234,13,39,12,8,55,49,49,54,46,40,-,-
